approach,n_ris,spacing_key,spacing_lambda,spacing_label,training_policy,evaluation_condition,channel_gain,source_file
Gumbel,64,lambda_4,0.25,\lambda/4,standard_no_mc,no_coupling_eval,5291.0102,outputs/Gumbel/64/lambda_4.txt
Gumbel,64,lambda_4,0.25,\lambda/4,standard_no_mc,with_coupling_eval,5296.7491,outputs/Gumbel/64/lambda_4.txt
Gumbel,64,lambda_4,0.25,\lambda/4,mc_aware,no_coupling_eval,5205.5918,outputs/Gumbel/64/lambda_4.txt
Gumbel,64,lambda_4,0.25,\lambda/4,mc_aware,with_coupling_eval,5316.1851,outputs/Gumbel/64/lambda_4.txt
Gumbel,64,lambda_2,0.5,\lambda/2,standard_no_mc,no_coupling_eval,4935.3437,outputs/Gumbel/64/lambda_2.txt
Gumbel,64,lambda_2,0.5,\lambda/2,standard_no_mc,with_coupling_eval,4933.3571,outputs/Gumbel/64/lambda_2.txt
Gumbel,64,lambda_2,0.5,\lambda/2,mc_aware,no_coupling_eval,4919.7728,outputs/Gumbel/64/lambda_2.txt
Gumbel,64,lambda_2,0.5,\lambda/2,mc_aware,with_coupling_eval,4931.853,outputs/Gumbel/64/lambda_2.txt
Gumbel,64,lambda,1.0,\lambda,standard_no_mc,no_coupling_eval,4183.451,outputs/Gumbel/64/lambda.txt
Gumbel,64,lambda,1.0,\lambda,standard_no_mc,with_coupling_eval,4183.7304,outputs/Gumbel/64/lambda.txt
Gumbel,64,lambda,1.0,\lambda,mc_aware,no_coupling_eval,4184.5349,outputs/Gumbel/64/lambda.txt
Gumbel,64,lambda,1.0,\lambda,mc_aware,with_coupling_eval,4185.9399,outputs/Gumbel/64/lambda.txt
Gumbel,256,lambda_4,0.25,\lambda/4,standard_no_mc,no_coupling_eval,8781.4274,outputs/Gumbel/256/lambda_4.txt
Gumbel,256,lambda_4,0.25,\lambda/4,standard_no_mc,with_coupling_eval,8783.126,outputs/Gumbel/256/lambda_4.txt
Gumbel,256,lambda_4,0.25,\lambda/4,mc_aware,no_coupling_eval,8325.6386,outputs/Gumbel/256/lambda_4.txt
Gumbel,256,lambda_4,0.25,\lambda/4,mc_aware,with_coupling_eval,9864.3412,outputs/Gumbel/256/lambda_4.txt
Gumbel,256,lambda_2,0.5,\lambda/2,standard_no_mc,no_coupling_eval,5986.7204,outputs/Gumbel/256/lambda_2.txt
Gumbel,256,lambda_2,0.5,\lambda/2,standard_no_mc,with_coupling_eval,5988.5387,outputs/Gumbel/256/lambda_2.txt
Gumbel,256,lambda_2,0.5,\lambda/2,mc_aware,no_coupling_eval,5890.0953,outputs/Gumbel/256/lambda_2.txt
Gumbel,256,lambda_2,0.5,\lambda/2,mc_aware,with_coupling_eval,5981.235,outputs/Gumbel/256/lambda_2.txt
Gumbel,256,lambda,1.0,\lambda,standard_no_mc,no_coupling_eval,6618.6702,outputs/Gumbel/256/lambda.txt
Gumbel,256,lambda,1.0,\lambda,standard_no_mc,with_coupling_eval,6621.6798,outputs/Gumbel/256/lambda.txt
Gumbel,256,lambda,1.0,\lambda,mc_aware,no_coupling_eval,6624.8332,outputs/Gumbel/256/lambda.txt
Gumbel,256,lambda,1.0,\lambda,mc_aware,with_coupling_eval,6630.161,outputs/Gumbel/256/lambda.txt
Transformer,16,lambda_4,0.25,\lambda/4,standard_no_mc,no_coupling_eval,3735.3661,outputs/Transformer/16/lambda_4.txt
Transformer,16,lambda_4,0.25,\lambda/4,standard_no_mc,with_coupling_eval,3736.0268,outputs/Transformer/16/lambda_4.txt
Transformer,16,lambda_4,0.25,\lambda/4,mc_aware,no_coupling_eval,3732.2028,outputs/Transformer/16/lambda_4.txt
Transformer,16,lambda_4,0.25,\lambda/4,mc_aware,with_coupling_eval,3736.434,outputs/Transformer/16/lambda_4.txt
Transformer,16,lambda_2,0.5,\lambda/2,standard_no_mc,no_coupling_eval,4891.7288,outputs/Transformer/16/lambda_2.txt
Transformer,16,lambda_2,0.5,\lambda/2,standard_no_mc,with_coupling_eval,4891.6938,outputs/Transformer/16/lambda_2.txt
Transformer,16,lambda_2,0.5,\lambda/2,mc_aware,no_coupling_eval,4897.5629,outputs/Transformer/16/lambda_2.txt
Transformer,16,lambda_2,0.5,\lambda/2,mc_aware,with_coupling_eval,4898.6836,outputs/Transformer/16/lambda_2.txt
Transformer,16,lambda,1.0,\lambda,standard_no_mc,no_coupling_eval,4068.9276,outputs/Transformer/16/lambda.txt
Transformer,16,lambda,1.0,\lambda,standard_no_mc,with_coupling_eval,4069.2059,outputs/Transformer/16/lambda.txt
Transformer,16,lambda,1.0,\lambda,mc_aware,no_coupling_eval,4069.2294,outputs/Transformer/16/lambda.txt
Transformer,16,lambda,1.0,\lambda,mc_aware,with_coupling_eval,4069.4834,outputs/Transformer/16/lambda.txt
Transformer,64,lambda_4,0.25,\lambda/4,standard_no_mc,no_coupling_eval,6292.5108,outputs/Transformer/64/lambda_4.txt
Transformer,64,lambda_4,0.25,\lambda/4,standard_no_mc,with_coupling_eval,6286.039,outputs/Transformer/64/lambda_4.txt
Transformer,64,lambda_4,0.25,\lambda/4,mc_aware,no_coupling_eval,6233.9761,outputs/Transformer/64/lambda_4.txt
Transformer,64,lambda_4,0.25,\lambda/4,mc_aware,with_coupling_eval,6359.9027,outputs/Transformer/64/lambda_4.txt
Transformer,64,lambda_2,0.5,\lambda/2,standard_no_mc,no_coupling_eval,4411.4289,outputs/Transformer/64/lambda_2.txt
Transformer,64,lambda_2,0.5,\lambda/2,standard_no_mc,with_coupling_eval,4414.8317,outputs/Transformer/64/lambda_2.txt
